,Credit Suisse Hedge Fund Index ,,,Credit Suisse Convertible Arbitrage Hedge Fund Index,,,Credit Suisse Dedicated Short Bias Hedge Fund Index,,,Credit Suisse Emerging Markets Hedge Fund Index,,,Credit Suisse Equity Market Neutral Hedge Fund Index,,,Credit Suisse Event Driven Hedge Fund Index,,,Credit Suisse Event Driven Distressed Hedge Fund Index,,,Credit Suisse Event Driven Multi-Strategy Hedge Fund Index,,,Credit Suisse Event Driven Risk Arbitrage Hedge Fund Index,,,Credit Suisse Fixed Income Arbitrage Hedge Fund Index,,,Credit Suisse Global Macro Hedge Fund Index,,,Credit Suisse Long/Short Equity Hedge Fund Index,,,Credit Suisse Managed Futures Hedge Fund Index,,,Credit Suisse Multi-Strategy Hedge Fund Index,,,Credit Suisse AllHedge Index,,,Credit Suisse AllHedge Convertible Arbitrage Index,,,Credit Suisse AllHedge Dedicated Short Bias Index,,,Credit Suisse AllHedge Emerging Markets Index,,,Credit Suisse AllHedge Equity Market Neutral Index,,,Credit Suisse AllHedge Event Driven Index,,,Credit Suisse AllHedge Fixed Income Arbitrage Index,,,Credit Suisse AllHedge Global Macro Index,,,Credit Suisse AllHedge Long/Short Equity Index,,,Credit Suisse AllHedge Managed Futures Index,,,Credit Suisse AllHedge Multi-Strategy Index,,
,HEDG,,,HEDG_CVARB,,,HEDG_DEDSH,,,HEDG_EMMKT,,,HEDG_EQNTR,,,HEDG_EVDRV,,,HEDG_DISTR,,,HEDG_MSEVD,,,HEDG_MRARB,,,HEDG_FIARB,,,HEDG_GLMAC,,,HEDG_LOSHO,,,HEDG_MGFUT,,,HEDG_MULTI,,,SECT,,,SECT_CVARB,,,SECT_DEDSH,,,SECT_EMMKT,,,SECT_EQNTR,,,SECT_EVDRV,,,SECT_FIARB,,,SECT_GLMAC,,,SECT_LOSHO,,,SECT_MGFUT,,,SECT_MULTI,,
Date,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR,CCY,NAV,ROR
3/31/2012,USD,468.4,0.05%,USD,384.21,0.55%,USD,46.67,-1.35%,USD,378.82,-0.70%,USD,246.35,-0.15%,USD,513.13,0.79%,USD,611.41,1.48%,USD,470.28,0.45%,USD,330.12,0.18%,USD,257.65,0.74%,USD,797.48,-0.43%,USD,521.41,0.50%,USD,283.56,-2.96%,USD,400.51,0.45%,USD,122.32,-0.07%,USD,112.51,0.29%,USD,60.77,-0.65%,USD,145.52,-2.13%,USD,84.69,0.44%,USD,138.61,-0.34%,USD,76.84,0.27%,USD,113.43,0.08%,USD,125.22,1.31%,USD,151.08,-2.69%,USD,118.27,-0.04%
2/29/2012,USD,468.17,1.61%,USD,382.09,1.88%,USD,47.31,-4.66%,USD,381.49,2.92%,USD,246.73,1.33%,USD,509.12,1.58%,USD,602.49,1.89%,USD,468.19,1.43%,USD,329.52,0.92%,USD,255.76,1.00%,USD,800.89,0.79%,USD,518.81,2.64%,USD,292.22,1.21%,USD,398.73,1.72%,USD,122.4,1.75%,USD,112.19,1.67%,USD,61.17,-4.08%,USD,148.68,4.67%,USD,84.32,2.34%,USD,139.08,1.01%,USD,76.63,0.63%,USD,113.34,0.77%,USD,123.6,3.48%,USD,155.25,1.03%,USD,118.32,0.81%
1/31/2012,USD,460.75,2.34%,USD,375.04,2.36%,USD,49.62,-7.58%,USD,370.67,3.74%,USD,243.48,0.17%,USD,501.19,2.80%,USD,591.33,2.40%,USD,461.58,3.03%,USD,326.5,0.97%,USD,253.22,1.17%,USD,794.64,1.22%,USD,505.45,3.91%,USD,288.74,1.15%,USD,391.97,2.47%,USD,120.3,2.35%,USD,110.35,2.33%,USD,63.77,-7.28%,USD,142.05,6.29%,USD,82.39,1.72%,USD,137.69,3.05%,USD,76.15,0.77%,USD,112.47,0.80%,USD,119.44,3.38%,USD,153.66,1.26%,USD,117.37,0.95%
12/31/2011,USD,450.23,-0.22%,USD,366.39,0.62%,USD,53.69,1.65%,USD,357.31,-0.70%,USD,243.06,-0.49%,USD,487.52,-0.81%,USD,577.45,-0.05%,USD,448.02,-1.25%,USD,323.37,-0.39%,USD,250.29,0.38%,USD,785.06,0.43%,USD,486.44,-0.88%,USD,285.47,0.79%,USD,382.51,0.14%,USD,117.54,-0.55%,USD,107.84,0.45%,USD,68.78,0.15%,USD,133.65,-1.39%,USD,81,-1.30%,USD,133.62,-1.97%,USD,75.57,-0.08%,USD,111.58,0.33%,USD,115.53,-0.67%,USD,151.75,1.01%,USD,116.27,0.67%
11/30/2011,USD,451.21,-0.79%,USD,364.12,-0.60%,USD,52.82,-0.17%,USD,359.83,-2.69%,USD,244.26,0.09%,USD,491.48,-1.05%,USD,577.75,-1.20%,USD,453.68,-0.97%,USD,324.62,-0.27%,USD,249.34,0.50%,USD,781.7,-0.03%,USD,490.78,-1.48%,USD,283.23,0.18%,USD,381.98,-0.89%,USD,118.19,-1.56%,USD,107.36,-0.61%,USD,68.68,2.48%,USD,135.53,-5.24%,USD,82.07,-2.04%,USD,136.3,-1.65%,USD,75.63,0.00%,USD,111.21,-1.62%,USD,116.31,-1.87%,USD,150.23,0.38%,USD,115.5,-0.11%
10/31/2011,USD,454.79,1.73%,USD,366.3,1.18%,USD,52.91,-9.59%,USD,369.76,3.70%,USD,244.03,2.76%,USD,496.7,2.56%,USD,584.77,1.99%,USD,458.13,2.90%,USD,325.5,1.91%,USD,248.11,0.14%,USD,781.92,0.18%,USD,498.15,4.45%,USD,282.73,-5.06%,USD,385.41,2.05%,USD,120.06,1.85%,USD,108.02,1.03%,USD,67.02,-11.06%,USD,143.03,6.52%,USD,83.78,3.93%,USD,138.58,2.87%,USD,75.63,-0.13%,USD,113.04,-0.20%,USD,118.53,4.44%,USD,149.66,-5.97%,USD,115.63,0.60%
9/30/2011,USD,447.06,-3.20%,USD,362.04,-1.77%,USD,58.52,8.45%,USD,356.55,-7.47%,USD,237.48,-2.22%,USD,484.31,-5.06%,USD,573.38,-3.28%,USD,445.23,-6.15%,USD,319.39,-1.63%,USD,247.76,-0.19%,USD,780.51,-0.07%,USD,476.91,-5.22%,USD,297.81,-0.78%,USD,377.67,-2.37%,USD,117.88,-3.38%,USD,106.92,-1.62%,USD,75.35,11.00%,USD,134.28,-8.29%,USD,80.61,-4.35%,USD,134.71,-5.80%,USD,75.73,-0.72%,USD,113.27,-2.14%,USD,113.49,-3.82%,USD,159.17,0.01%,USD,114.94,-0.45%
8/31/2011,USD,461.84,-2.30%,USD,368.55,-1.73%,USD,53.96,6.56%,USD,385.33,-3.15%,USD,242.86,-0.89%,USD,510.13,-5.37%,USD,592.8,-4.41%,USD,474.4,-5.98%,USD,324.67,-0.92%,USD,248.22,-0.27%,USD,781.05,1.91%,USD,503.18,-4.44%,USD,300.16,0.25%,USD,386.84,-1.93%,USD,122.01,-2.95%,USD,108.68,-1.89%,USD,67.88,6.11%,USD,146.42,-5.11%,USD,84.28,-1.42%,USD,143.01,-5.85%,USD,76.28,-0.94%,USD,115.75,0.56%,USD,118,-5.30%,USD,159.16,1.23%,USD,115.46,-0.95%
7/31/2011,USD,472.71,0.69%,USD,375.05,-0.14%,USD,50.64,3.01%,USD,397.87,1.67%,USD,245.05,-0.18%,USD,539.07,-0.78%,USD,620.13,-0.26%,USD,504.58,-1.07%,USD,327.69,-0.77%,USD,248.9,0.55%,USD,766.42,2.53%,USD,526.58,-0.41%,USD,299.42,4.03%,USD,394.47,0.61%,USD,125.72,0.09%,USD,110.77,-0.24%,USD,63.97,2.96%,USD,154.31,2.29%,USD,85.49,-0.80%,USD,151.9,-1.57%,USD,77,-0.76%,USD,115.1,1.90%,USD,124.6,-1.02%,USD,157.22,4.29%,USD,116.57,-0.08%
6/30/2011,USD,469.48,-1.36%,USD,375.59,-0.86%,USD,49.16,1.57%,USD,391.34,-0.65%,USD,245.5,-0.29%,USD,543.29,-2.16%,USD,621.76,-0.70%,USD,510.05,-3.08%,USD,330.23,-0.04%,USD,247.53,0.06%,USD,747.53,-1.11%,USD,528.75,-1.49%,USD,287.82,-3.07%,USD,392.08,-0.64%,USD,125.61,-1.70%,USD,111.04,-0.87%,USD,62.13,1.62%,USD,150.85,-0.76%,USD,86.18,-0.65%,USD,154.33,-3.00%,USD,77.59,-0.50%,USD,112.95,-1.88%,USD,125.88,-1.24%,USD,150.75,-2.75%,USD,116.66,-0.56%
5/31/2011,USD,475.96,-0.96%,USD,378.84,0.02%,USD,48.4,2.20%,USD,393.9,-1.10%,USD,246.21,-1.03%,USD,555.28,-0.61%,USD,626.17,0.01%,USD,526.26,-0.98%,USD,330.37,-1.05%,USD,247.39,0.21%,USD,755.94,-0.63%,USD,536.73,-1.68%,USD,296.95,-4.44%,USD,394.62,-0.05%,USD,127.78,-1.51%,USD,112.01,-0.07%,USD,61.14,3.16%,USD,152.01,-1.62%,USD,86.74,-1.21%,USD,159.11,-1.52%,USD,77.98,-0.17%,USD,115.12,-2.57%,USD,127.46,-1.35%,USD,155.01,-2.97%,USD,117.32,-0.33%
4/30/2011,USD,480.56,1.80%,USD,378.76,0.06%,USD,47.36,-2.67%,USD,398.3,2.32%,USD,248.77,3.37%,USD,558.67,1.14%,USD,626.12,1.14%,USD,531.46,1.13%,USD,333.88,1.74%,USD,246.86,0.92%,USD,760.7,2.46%,USD,545.89,1.70%,USD,310.75,5.40%,USD,394.8,0.85%,USD,129.74,1.44%,USD,112.09,0.07%,USD,59.27,-2.42%,USD,154.52,2.71%,USD,87.8,2.09%,USD,161.56,0.60%,USD,78.11,-0.27%,USD,118.16,2.07%,USD,129.2,1.84%,USD,159.75,3.99%,USD,117.71,0.54%
3/31/2011,USD,472.05,0.12%,USD,378.54,-0.61%,USD,48.66,-1.78%,USD,389.26,2.12%,USD,240.66,1.11%,USD,552.38,-0.26%,USD,619.08,-0.10%,USD,525.51,-0.37%,USD,328.18,0.59%,USD,244.6,-0.31%,USD,742.41,0.15%,USD,536.76,0.28%,USD,294.82,-2.76%,USD,391.46,0.79%,USD,127.9,0.24%,USD,112.01,0.22%,USD,60.74,-1.83%,USD,150.45,1.87%,USD,86,5.85%,USD,160.59,-0.83%,USD,78.32,-0.27%,USD,115.76,1.23%,USD,126.86,0.37%,USD,153.62,-2.90%,USD,117.08,0.27%
2/28/2011,USD,471.47,1.38%,USD,380.85,2.90%,USD,49.54,-3.37%,USD,381.17,-0.07%,USD,238.02,0.52%,USD,553.81,1.44%,USD,619.71,0.86%,USD,527.45,1.88%,USD,326.24,0.79%,USD,245.36,0.93%,USD,741.28,1.28%,USD,535.24,1.72%,USD,303.2,2.60%,USD,388.38,1.39%,USD,127.6,1.12%,USD,111.76,1.03%,USD,61.87,-4.33%,USD,147.69,-0.33%,USD,81.25,0.57%,USD,161.94,1.18%,USD,78.53,0.41%,USD,114.35,1.69%,USD,126.39,1.40%,USD,158.2,2.11%,USD,116.76,0.60%
1/31/2011,USD,465.04,0.69%,USD,370.13,2.16%,USD,51.27,-0.83%,USD,381.42,-0.39%,USD,236.79,1.79%,USD,545.93,1.80%,USD,614.44,1.90%,USD,517.74,1.74%,USD,323.67,0.89%,USD,243.09,1.68%,USD,731.91,-0.77%,USD,526.19,0.27%,USD,295.53,-0.82%,USD,383.06,1.98%,USD,126.19,0.13%,USD,110.62,1.78%,USD,64.67,0.92%,USD,148.18,-1.19%,USD,80.79,1.48%,USD,160.05,1.03%,USD,78.21,1.11%,USD,112.45,-2.71%,USD,124.65,0.90%,USD,154.93,-1.27%,USD,116.06,1.34%
12/31/2010,USD,461.86,2.90%,USD,362.31,1.16%,USD,51.7,-5.86%,USD,382.9,1.50%,USD,232.62,1.74%,USD,536.26,3.93%,USD,603.01,2.73%,USD,508.88,4.78%,USD,320.8,1.14%,USD,239.08,0.61%,USD,737.58,2.67%,USD,524.79,3.42%,USD,297.96,5.42%,USD,375.62,1.70%,USD,126.02,3.29%,USD,108.69,1.11%,USD,64.08,-6.43%,USD,149.96,1.65%,USD,79.61,1.27%,USD,158.42,5.41%,USD,77.35,0.05%,USD,115.58,4.52%,USD,123.54,1.93%,USD,156.92,5.01%,USD,114.52,1.61%
11/30/2010,USD,448.83,-0.18%,USD,358.17,0.04%,USD,54.92,-2.36%,USD,377.23,-0.38%,USD,228.64,-2.51%,USD,516,0.15%,USD,586.99,0.33%,USD,485.66,0.04%,USD,317.18,-1.44%,USD,237.62,0.74%,USD,718.41,-0.52%,USD,507.43,0.46%,USD,282.63,-4.11%,USD,369.35,0.30%,USD,122.01,-1.03%,USD,107.5,-0.15%,USD,68.48,-2.95%,USD,147.52,-1.27%,USD,78.61,-2.23%,USD,150.29,0.07%,USD,77.31,0.90%,USD,110.58,-3.38%,USD,121.2,-0.34%,USD,149.44,-3.43%,USD,112.71,-0.78%
10/31/2010,USD,449.66,1.92%,USD,358.04,1.98%,USD,56.25,-3.60%,USD,378.65,2.21%,USD,234.53,0.93%,USD,515.25,1.80%,USD,585.07,1.32%,USD,485.48,2.17%,USD,321.81,-0.62%,USD,235.87,1.10%,USD,722.14,1.62%,USD,505.12,2.00%,USD,294.74,4.29%,USD,368.24,2.03%,USD,123.28,1.62%,USD,107.66,1.83%,USD,70.56,-4.35%,USD,149.42,2.36%,USD,80.4,1.25%,USD,150.18,2.07%,USD,76.62,-0.09%,USD,114.45,1.65%,USD,121.61,1.44%,USD,154.75,2.83%,USD,113.6,0.78%
9/30/2010,USD,441.18,3.43%,USD,351.09,1.11%,USD,58.35,-11.28%,USD,370.46,4.77%,USD,232.36,3.66%,USD,506.16,3.20%,USD,577.45,2.07%,USD,475.17,4.03%,USD,323.82,2.31%,USD,233.3,1.55%,USD,710.64,2.72%,USD,495.2,5.09%,USD,282.62,2.77%,USD,360.93,2.79%,USD,121.31,3.38%,USD,105.73,0.70%,USD,73.77,-7.67%,USD,145.97,6.88%,USD,79.41,1.47%,USD,147.13,5.58%,USD,76.69,0.83%,USD,112.59,0.98%,USD,119.88,4.19%,USD,150.49,1.42%,USD,112.72,1.35%
8/31/2010,USD,426.54,0.23%,USD,347.25,1.35%,USD,65.77,5.15%,USD,353.58,0.12%,USD,224.16,-1.55%,USD,490.46,-0.40%,USD,565.72,-0.64%,USD,456.76,-0.24%,USD,316.5,0.31%,USD,229.74,1.24%,USD,691.8,1.48%,USD,471.2,-1.12%,USD,275,4.87%,USD,351.14,0.01%,USD,117.34,-0.26%,USD,104.99,1.26%,USD,79.9,4.83%,USD,136.57,-0.26%,USD,78.26,-1.02%,USD,139.35,-1.67%,USD,76.06,-1.76%,USD,111.5,2.26%,USD,115.06,-1.53%,USD,148.39,4.49%,USD,111.22,0.03%
7/31/2010,USD,425.54,1.59%,USD,342.62,2.22%,USD,62.55,-3.52%,USD,353.15,3.52%,USD,227.68,1.67%,USD,492.44,1.56%,USD,569.38,1.10%,USD,457.84,1.90%,USD,315.51,1.61%,USD,226.92,1.20%,USD,681.7,0.65%,USD,476.53,2.53%,USD,262.23,-1.50%,USD,351.1,1.66%,USD,117.65,1.55%,USD,103.68,1.63%,USD,76.22,-3.81%,USD,136.92,3.47%,USD,79.07,-1.00%,USD,141.72,1.85%,USD,77.42,0.23%,USD,109.04,1.87%,USD,116.85,1.85%,USD,142.01,-1.30%,USD,111.19,0.72%
6/30/2010,USD,418.89,-0.84%,USD,335.19,0.01%,USD,64.83,5.45%,USD,341.14,-0.03%,USD,223.93,-0.99%,USD,484.87,-1.58%,USD,563.19,-1.10%,USD,449.3,-1.97%,USD,310.52,0.10%,USD,224.22,0.92%,USD,677.29,0.56%,USD,464.78,-2.07%,USD,266.21,0.42%,USD,345.35,-0.81%,USD,115.85,-0.80%,USD,102.02,0.93%,USD,79.24,3.96%,USD,132.33,0.50%,USD,79.87,-2.07%,USD,139.15,-2.48%,USD,77.24,-0.05%,USD,107.04,-0.02%,USD,114.73,-0.79%,USD,143.88,0.57%,USD,110.39,-0.30%
5/31/2010,USD,422.45,-2.76%,USD,335.15,-2.51%,USD,61.48,5.84%,USD,341.24,-4.28%,USD,226.18,-3.30%,USD,492.63,-3.07%,USD,569.45,-2.50%,USD,458.31,-3.53%,USD,310.2,-1.52%,USD,222.17,-0.79%,USD,673.49,-0.63%,USD,474.61,-4.13%,USD,265.09,-4.03%,USD,348.18,-2.19%,USD,116.79,-2.90%,USD,101.08,-2.04%,USD,76.22,5.74%,USD,131.67,-5.89%,USD,81.56,-1.94%,USD,142.69,-4.18%,USD,77.28,-0.23%,USD,107.06,-0.05%,USD,115.64,-4.08%,USD,143.06,-1.49%,USD,110.72,-1.71%
4/30/2010,USD,434.46,1.24%,USD,343.79,1.69%,USD,58.09,-3.89%,USD,356.51,1.01%,USD,233.91,0.43%,USD,508.24,1.89%,USD,584.08,1.69%,USD,475.1,2.09%,USD,314.99,-0.10%,USD,223.94,1.75%,USD,677.74,1.65%,USD,495.05,0.29%,USD,276.21,1.89%,USD,355.97,0.96%,USD,120.28,0.98%,USD,103.19,1.62%,USD,72.08,-2.79%,USD,139.91,0.73%,USD,83.17,-1.02%,USD,148.92,2.66%,USD,77.46,-0.01%,USD,107.11,-0.17%,USD,120.56,0.31%,USD,145.23,1.74%,USD,112.65,0.96%
3/31/2010,USD,429.14,2.22%,USD,338.08,2.06%,USD,60.44,-6.61%,USD,352.95,3.89%,USD,232.91,0.54%,USD,498.81,2.85%,USD,574.39,2.64%,USD,465.39,3.07%,USD,315.29,0.69%,USD,220.08,1.44%,USD,666.71,0.38%,USD,493.63,2.99%,USD,271.08,4.25%,USD,352.6,1.44%,USD,119.11,1.82%,USD,101.54,1.79%,USD,74.15,-4.53%,USD,138.89,3.15%,USD,84.03,0.11%,USD,145.06,2.60%,USD,77.47,0.99%,USD,107.29,-0.85%,USD,120.19,2.80%,USD,142.75,2.79%,USD,111.58,1.80%
2/28/2010,USD,419.82,0.68%,USD,331.27,0.47%,USD,64.72,-3.20%,USD,339.75,-0.45%,USD,231.66,-1.35%,USD,484.99,0.44%,USD,559.6,0.29%,USD,451.54,0.57%,USD,313.14,0.30%,USD,216.95,0.07%,USD,664.17,1.10%,USD,479.28,1.32%,USD,260.03,1.81%,USD,347.59,0.56%,USD,116.98,1.65%,USD,99.75,4.11%,USD,77.67,-1.87%,USD,134.65,0.64%,USD,83.94,-0.27%,USD,141.38,2.51%,USD,76.71,-0.23%,USD,108.21,1.78%,USD,116.92,0.48%,USD,138.87,1.56%,USD,109.61,2.67%
1/31/2010,USD,416.98,0.17%,USD,329.73,0.97%,USD,66.86,0.27%,USD,341.28,-0.76%,USD,234.84,0.10%,USD,482.88,1.42%,USD,557.97,2.02%,USD,449,0.90%,USD,312.19,0.40%,USD,216.79,2.02%,USD,656.95,1.07%,USD,473.03,-1.50%,USD,255.41,-3.81%,USD,345.64,0.56%,USD,115.08,1.45%,USD,95.81,0.98%,USD,79.15,1.54%,USD,133.8,4.02%,USD,84.17,-0.64%,USD,137.92,0.39%,USD,76.89,0.99%,USD,106.32,7.80%,USD,116.36,-1.28%,USD,136.74,-2.68%,USD,106.76,0.78%
12/31/2009,USD,416.28,0.88%,USD,326.55,2.22%,USD,66.68,-4.26%,USD,343.91,1.97%,USD,234.61,-0.87%,USD,476.13,2.28%,USD,546.91,2.51%,USD,445,2.13%,USD,310.94,0.38%,USD,212.5,0.76%,USD,650,-1.43%,USD,480.23,1.69%,USD,265.52,-5.00%,USD,343.7,1.18%,USD,113.44,1.41%,USD,94.88,1.75%,USD,77.95,-4.95%,USD,128.63,1.78%,USD,84.71,9.25%,USD,137.38,4.90%,USD,76.14,2.12%,USD,98.63,-3.52%,USD,117.87,2.06%,USD,140.5,-3.94%,USD,105.93,0.56%
11/30/2009,USD,412.64,2.11%,USD,319.45,0.80%,USD,69.65,-2.99%,USD,337.25,1.37%,USD,236.68,0.08%,USD,465.51,2.16%,USD,533.54,2.08%,USD,435.72,2.26%,USD,309.76,1.03%,USD,210.9,1.71%,USD,659.42,3.52%,USD,472.24,1.92%,USD,279.5,4.94%,USD,339.7,0.96%,USD,111.86,2.79%,USD,93.25,6.46%,USD,82.01,12.10%,USD,126.38,1.27%,USD,77.54,-0.09%,USD,130.96,3.48%,USD,74.56,0.95%,USD,102.23,3.93%,USD,115.49,1.01%,USD,146.26,3.93%,USD,105.34,3.46%
10/31/2009,USD,404.13,0.13%,USD,316.9,2.16%,USD,71.8,4.79%,USD,332.7,0.90%,USD,236.5,-0.35%,USD,455.65,0.43%,USD,522.69,0.71%,USD,426.1,0.21%,USD,306.59,0.16%,USD,207.35,1.94%,USD,636.99,0.21%,USD,463.35,-1.21%,USD,266.33,-2.17%,USD,336.48,1.12%,USD,108.82,0.74%,USD,87.59,3.03%,USD,73.16,3.86%,USD,124.79,0.72%,USD,77.61,-0.19%,USD,126.56,-0.95%,USD,73.86,1.34%,USD,98.36,-0.41%,USD,114.33,-0.63%,USD,140.73,-1.90%,USD,101.82,7.35%
9/30/2009,USD,403.62,3.04%,USD,310.19,3.23%,USD,68.52,-5.27%,USD,329.73,4.94%,USD,237.33,0.96%,USD,453.69,2.89%,USD,519.01,3.38%,USD,425.21,2.52%,USD,306.11,1.60%,USD,203.4,2.77%,USD,635.64,2.77%,USD,469.03,3.23%,USD,272.24,2.97%,USD,332.76,2.86%,USD,108.02,2.54%,USD,85.01,3.53%,USD,70.44,-4.48%,USD,123.9,6.04%,USD,77.76,-0.40%,USD,127.78,3.37%,USD,72.88,1.56%,USD,98.76,1.88%,USD,115.06,2.59%,USD,143.46,2.57%,USD,94.85,0.38%
8/31/2009,USD,391.71,1.53%,USD,300.47,3.39%,USD,72.33,-1.69%,USD,314.2,1.06%,USD,235.07,1.31%,USD,440.93,2.17%,USD,502.03,2.12%,USD,414.76,2.23%,USD,301.3,0.95%,USD,197.92,2.38%,USD,618.52,0.86%,USD,454.36,1.42%,USD,264.38,0.92%,USD,323.51,1.43%,USD,105.34,1.33%,USD,82.11,2.41%,USD,73.74,-1.85%,USD,116.84,2.50%,USD,78.07,0.44%,USD,123.61,2.63%,USD,71.76,0.90%,USD,96.94,0.10%,USD,112.15,0.86%,USD,139.86,0.86%,USD,94.49,0.54%
7/31/2009,USD,385.82,2.54%,USD,290.63,5.80%,USD,73.57,-7.26%,USD,310.89,3.83%,USD,232.02,1.79%,USD,431.56,2.33%,USD,491.62,2.25%,USD,405.7,2.41%,USD,298.46,1.12%,USD,193.31,3.65%,USD,613.24,1.78%,USD,448.02,2.99%,USD,261.96,-0.43%,USD,318.96,2.99%,USD,103.96,2.17%,USD,80.18,3.85%,USD,75.13,-6.10%,USD,113.99,2.25%,USD,77.73,0.40%,USD,120.44,2.96%,USD,71.12,1.01%,USD,96.84,0.93%,USD,111.19,3.18%,USD,138.67,0.09%,USD,93.98,1.65%
6/30/2009,USD,376.27,0.43%,USD,274.69,4.05%,USD,79.33,-1.96%,USD,299.42,0.69%,USD,227.95,-0.21%,USD,421.74,1.02%,USD,480.82,1.44%,USD,396.14,0.71%,USD,295.16,0.89%,USD,186.51,1.83%,USD,602.52,-0.85%,USD,435,-0.04%,USD,263.08,-2.32%,USD,309.69,1.62%,USD,101.75,0.53%,USD,77.21,6.31%,USD,80.01,-2.46%,USD,111.48,0.50%,USD,77.42,-0.74%,USD,116.98,0.99%,USD,70.41,0.37%,USD,95.95,-1.17%,USD,107.76,1.27%,USD,138.54,-2.44%,USD,92.45,1.02%
5/31/2009,USD,374.66,4.06%,USD,264,5.81%,USD,80.92,-0.55%,USD,297.37,6.96%,USD,228.42,3.63%,USD,417.5,4.22%,USD,473.99,4.15%,USD,393.34,4.31%,USD,292.57,1.85%,USD,183.16,4.33%,USD,607.68,1.47%,USD,435.16,5.23%,USD,269.33,0.85%,USD,304.75,4.28%,USD,101.21,3.18%,USD,72.63,5.58%,USD,82.03,-2.18%,USD,110.93,7.78%,USD,78,1.62%,USD,115.83,3.40%,USD,70.15,0.73%,USD,97.09,1.81%,USD,106.41,3.60%,USD,142,1.21%,USD,91.52,2.65%
4/30/2009,USD,360.04,1.68%,USD,249.51,4.52%,USD,81.37,-9.57%,USD,278.03,5.17%,USD,220.42,1.29%,USD,400.6,1.48%,USD,455.09,1.80%,USD,377.09,1.27%,USD,287.26,0.72%,USD,175.55,1.93%,USD,598.86,0.19%,USD,413.52,2.54%,USD,267.05,-3.24%,USD,292.25,2.24%,USD,98.09,1.33%,USD,68.79,5.07%,USD,83.86,-7.60%,USD,102.92,4.71%,USD,76.76,0.76%,USD,112.02,0.64%,USD,69.64,10.05%,USD,95.36,0.40%,USD,102.71,1.81%,USD,140.3,-2.84%,USD,89.16,-0.28%
3/31/2009,USD,354.08,0.65%,USD,238.73,1.14%,USD,89.98,-5.47%,USD,264.36,2.24%,USD,217.61,1.10%,USD,394.76,0.16%,USD,447.05,0.12%,USD,372.35,0.16%,USD,285.22,1.65%,USD,172.23,1.74%,USD,597.7,0.03%,USD,403.27,1.86%,USD,276,-2.18%,USD,285.84,0.38%,USD,96.8,1.01%,USD,65.47,1.43%,USD,90.76,-2.50%,USD,98.29,5.15%,USD,76.18,4.89%,USD,111.31,0.06%,USD,63.28,0.29%,USD,94.98,0.12%,USD,100.88,2.09%,USD,144.4,-2.44%,USD,89.41,-0.40%
2/28/2009,USD,351.78,-0.88%,USD,236.04,0.75%,USD,95.19,3.22%,USD,258.57,-2.10%,USD,215.25,-5.61%,USD,394.12,-1.13%,USD,446.52,-1.20%,USD,371.75,-1.12%,USD,280.6,0.69%,USD,169.28,1.01%,USD,597.54,0.21%,USD,395.92,-1.34%,USD,282.15,-0.16%,USD,284.77,-0.09%,USD,95.83,-1.53%,USD,64.55,1.00%,USD,93.09,0.94%,USD,93.48,-0.64%,USD,72.63,-17.89%,USD,111.24,-1.08%,USD,63.1,-1.16%,USD,94.87,4.41%,USD,98.81,-3.26%,USD,148.01,0.05%,USD,89.77,-0.28%
1/31/2009,USD,354.92,1.09%,USD,234.29,5.72%,USD,92.22,3.69%,USD,264.12,-0.14%,USD,228.05,1.14%,USD,398.64,0.79%,USD,451.93,-0.06%,USD,375.97,1.33%,USD,278.68,0.38%,USD,167.59,0.48%,USD,596.27,2.33%,USD,401.28,-0.17%,USD,282.61,-0.56%,USD,285.03,3.35%,USD,97.32,-0.26%,USD,63.91,4.72%,USD,92.22,1.01%,USD,94.08,-2.84%,USD,88.45,-1.90%,USD,112.46,0.49%,USD,63.84,-1.75%,USD,90.86,2.57%,USD,102.14,-2.33%,USD,147.94,-0.52%,USD,90.02,2.30%
12/31/2008,USD,351.08,-0.03%,USD,221.62,-0.98%,USD,88.94,-1.68%,USD,264.49,0.22%,USD,225.47,0.41%,USD,395.52,-1.26%,USD,452.18,-2.54%,USD,371.03,-0.49%,USD,277.63,1.60%,USD,166.79,-0.80%,USD,582.69,1.11%,USD,401.98,1.06%,USD,284.19,2.37%,USD,275.79,-1.52%,USD,97.57,-0.63%,USD,61.03,1.43%,USD,91.3,-1.74%,USD,96.83,-4.44%,USD,90.16,0.12%,USD,111.91,-2.23%,USD,64.98,-1.22%,USD,88.58,0.95%,USD,104.58,1.93%,USD,148.71,2.42%,USD,88,-4.62%
